2018
1, 1, 1, 1	 P = 1
1, 1, 1, 1	 P = 1
2, 2, 2, 2	 P = 4
2, 2, 2, 2	 P = 4
4, 4, 4, 4	 P = 16
7, 7, 7, 7	 P = 49
11, 11, 11, 11	 P = 121
11, 11, 11, 11	 P = 121
11, 11, 11, 11	 P = 121
12, 12, 12, 12	 P = 144
14, 14, 14, 14	 P = 196
17, 17, 17, 17	 P = 289
20, 20, 20, 20	 P = 400
21, 21, 21, 21	 P = 441
22, 22, 22, 22	 P = 484
23, 23, 23, 23	 P = 529
29, 29, 29, 29	 P = 841
30, 30, 30, 30	 P = 900
36, 36, 36, 36	 P = 1296
38, 38, 38, 38	 P = 1444
42, 42, 42, 42	 P = 1764
43, 43, 43, 43	 P = 1849
43, 43, 43, 43	 P = 1849
44, 44, 44, 44	 P = 1936
50, 50, 50, 50	 P = 2500
51, 51, 51, 51	 P = 2601
53, 53, 53, 53	 P = 2809
57, 57, 57, 57	 P = 3249
57, 57, 57, 57	 P = 3249
59, 59, 59, 59	 P = 3481
64, 64, 64, 64	 P = 4096
67, 67, 67, 67	 P = 4489
69, 69, 69, 69	 P = 4761
69, 69, 69, 69	 P = 4761
71, 71, 71, 71	 P = 5041
71, 71, 71, 71	 P = 5041
72, 72, 72, 72	 P = 5184
74, 74, 74, 74	 P = 5476
75, 75, 75, 75	 P = 5625
79, 79, 79, 79	 P = 6241
82, 82, 82, 82	 P = 6724
82, 82, 82, 82	 P = 6724
82, 82, 82, 82	 P = 6724
84, 84, 84, 84	 P = 7056
85, 85, 85, 85	 P = 7225
89, 89, 89, 89	 P = 7921
92, 92, 92, 92	 P = 8464
93, 93, 93, 93	 P = 8649
93, 93, 93, 93	 P = 8649
94, 94, 94, 94	 P = 8836
95, 95, 95, 95	 P = 9025
96, 96, 96, 96	 P = 9216
99, 99, 99, 99	 P = 9801
99, 99, 99, 99	 P = 9801
100, 100, 100, 100	 P = 10000
106, 106, 106, 106	 P = 11236
106, 106, 106, 106	 P = 11236
106, 106, 106, 106	 P = 11236
108, 108, 108, 108	 P = 11664
110, 110, 110, 110	 P = 12100
113, 113, 113, 113	 P = 12769
113, 113, 113, 113	 P = 12769
116, 116, 116, 116	 P = 13456
119, 119, 119, 119	 P = 14161
122, 122, 122, 122	 P = 14884
131, 131, 131, 131	 P = 17161
137, 137, 137, 137	 P = 18769
137, 137, 137, 137	 P = 18769
138, 138, 138, 138	 P = 19044
139, 139, 139, 139	 P = 19321
141, 141, 141, 141	 P = 19881
142, 142, 142, 142	 P = 20164
147, 147, 147, 147	 P = 21609
150, 150, 150, 150	 P = 22500
151, 151, 151, 151	 P = 22801
156, 156, 156, 156	 P = 24336
157, 157, 157, 157	 P = 24649
160, 160, 160, 160	 P = 25600
166, 166, 166, 166	 P = 27556
167, 167, 167, 167	 P = 27889
170, 170, 170, 170	 P = 28900
171, 171, 171, 171	 P = 29241
174, 174, 174, 174	 P = 30276
175, 175, 175, 175	 P = 30625
176, 176, 176, 176	 P = 30976
176, 176, 176, 176	 P = 30976
177, 177, 177, 177	 P = 31329
178, 178, 178, 178	 P = 31684
178, 178, 178, 178	 P = 31684
179, 179, 179, 179	 P = 32041
180, 180, 180, 180	 P = 32400
183, 183, 183, 183	 P = 33489
189, 189, 189, 189	 P = 35721
190, 190, 190, 190	 P = 36100
190, 190, 190, 190	 P = 36100
191, 191, 191, 191	 P = 36481
191, 191, 191, 191	 P = 36481
193, 193, 193, 193	 P = 37249
194, 194, 194, 194	 P = 37636
194, 194, 194, 194	 P = 37636
201, 201, 201, 201	 P = 40401
204, 204, 204, 204	 P = 41616
209, 209, 209, 209	 P = 43681
210, 210, 210, 210	 P = 44100
210, 210, 210, 210	 P = 44100
212, 212, 212, 212	 P = 44944
212, 212, 212, 212	 P = 44944
212, 212, 212, 212	 P = 44944
214, 214, 214, 214	 P = 45796
216, 216, 216, 216	 P = 46656
217, 217, 217, 217	 P = 47089
217, 217, 217, 217	 P = 47089
218, 218, 218, 218	 P = 47524
219, 219, 219, 219	 P = 47961
221, 221, 221, 221	 P = 48841
223, 223, 223, 223	 P = 49729
227, 227, 227, 227	 P = 51529
231, 231, 231, 231	 P = 53361
233, 233, 233, 233	 P = 54289
234, 234, 234, 234	 P = 54756
236, 236, 236, 236	 P = 55696
236, 236, 236, 236	 P = 55696
237, 237, 237, 237	 P = 56169
238, 238, 238, 238	 P = 56644
239, 239, 239, 239	 P = 57121
239, 239, 239, 239	 P = 57121
240, 240, 240, 240	 P = 57600
240, 240, 240, 240	 P = 57600
242, 242, 242, 242	 P = 58564
245, 245, 245, 245	 P = 60025
247, 247, 247, 247	 P = 61009
247, 247, 247, 247	 P = 61009
249, 249, 249, 249	 P = 62001
249, 249, 249, 249	 P = 62001
252, 252, 252, 252	 P = 63504
252, 252, 252, 252	 P = 63504
253, 253, 253, 253	 P = 64009
254, 254, 254, 254	 P = 64516
259, 259, 259, 259	 P = 67081
259, 259, 259, 259	 P = 67081
259, 259, 259, 259	 P = 67081
262, 262, 262, 262	 P = 68644
267, 267, 267, 267	 P = 71289
269, 269, 269, 269	 P = 72361
271, 271, 271, 271	 P = 73441
271, 271, 271, 271	 P = 73441
273, 273, 273, 273	 P = 74529
273, 273, 273, 273	 P = 74529
275, 275, 275, 275	 P = 75625
278, 278, 278, 278	 P = 77284
280, 280, 280, 280	 P = 78400
282, 282, 282, 282	 P = 79524
287, 287, 287, 287	 P = 82369
291, 291, 291, 291	 P = 84681
293, 293, 293, 293	 P = 85849
294, 294, 294, 294	 P = 86436
296, 296, 296, 296	 P = 87616
298, 298, 298, 298	 P = 88804
300, 300, 300, 300	 P = 90000
300, 300, 300, 300	 P = 90000
300, 300, 300, 300	 P = 90000
301, 301, 301, 301	 P = 90601
303, 303, 303, 303	 P = 91809
304, 304, 304, 304	 P = 92416
304, 304, 304, 304	 P = 92416
305, 305, 305, 305	 P = 93025
310, 310, 310, 310	 P = 96100
312, 312, 312, 312	 P = 97344
313, 313, 313, 313	 P = 97969
316, 316, 316, 316	 P = 99856
316, 316, 316, 316	 P = 99856
322, 322, 322, 322	 P = 103684
323, 323, 323, 323	 P = 104329
323, 323, 323, 323	 P = 104329
324, 324, 324, 324	 P = 104976
326, 326, 326, 326	 P = 106276
328, 328, 328, 328	 P = 107584
329, 329, 329, 329	 P = 108241
329, 329, 329, 329	 P = 108241
334, 334, 334, 334	 P = 111556
335, 335, 335, 335	 P = 112225
335, 335, 335, 335	 P = 112225
335, 335, 335, 335	 P = 112225
336, 336, 336, 336	 P = 112896
342, 342, 342, 342	 P = 116964
345, 345, 345, 345	 P = 119025
345, 345, 345, 345	 P = 119025
348, 348, 348, 348	 P = 121104
351, 351, 351, 351	 P = 123201
352, 352, 352, 352	 P = 123904
357, 357, 357, 357	 P = 127449
361, 361, 361, 361	 P = 130321
363, 363, 363, 363	 P = 131769
364, 364, 364, 364	 P = 132496
368, 368, 368, 368	 P = 135424
369, 369, 369, 369	 P = 136161
377, 377, 377, 377	 P = 142129
377, 377, 377, 377	 P = 142129
378, 378, 378, 378	 P = 142884
379, 379, 379, 379	 P = 143641
379, 379, 379, 379	 P = 143641
379, 379, 379, 379	 P = 143641
381, 381, 381, 381	 P = 145161
381, 381, 381, 381	 P = 145161
382, 382, 382, 382	 P = 145924
382, 382, 382, 382	 P = 145924
385, 385, 385, 385	 P = 148225
386, 386, 386, 386	 P = 148996
389, 389, 389, 389	 P = 151321
396, 396, 396, 396	 P = 156816
396, 396, 396, 396	 P = 156816
397, 397, 397, 397	 P = 157609
397, 397, 397, 397	 P = 157609
398, 398, 398, 398	 P = 158404
400, 400, 400, 400	 P = 160000
401, 401, 401, 401	 P = 160801
401, 401, 401, 401	 P = 160801
401, 401, 401, 401	 P = 160801
401, 401, 401, 401	 P = 160801
401, 401, 401, 401	 P = 160801
404, 404, 404, 404	 P = 163216
411, 411, 411, 411	 P = 168921
414, 414, 414, 414	 P = 171396
415, 415, 415, 415	 P = 172225
416, 416, 416, 416	 P = 173056
419, 419, 419, 419	 P = 175561
420, 420, 420, 420	 P = 176400
421, 421, 421, 421	 P = 177241
421, 421, 421, 421	 P = 177241
422, 422, 422, 422	 P = 178084
424, 424, 424, 424	 P = 179776
426, 426, 426, 426	 P = 181476
427, 427, 427, 427	 P = 182329
429, 429, 429, 429	 P = 184041
430, 430, 430, 430	 P = 184900
433, 433, 433, 433	 P = 187489
433, 433, 433, 433	 P = 187489
436, 436, 436, 436	 P = 190096
437, 437, 437, 437	 P = 190969
438, 438, 438, 438	 P = 191844
440, 440, 440, 440	 P = 193600
441, 441, 441, 441	 P = 194481
446, 446, 446, 446	 P = 198916
447, 447, 447, 447	 P = 199809
449, 449, 449, 449	 P = 201601
451, 451, 451, 451	 P = 203401
453, 453, 453, 453	 P = 205209
453, 453, 453, 453	 P = 205209
455, 455, 455, 455	 P = 207025
458, 458, 458, 458	 P = 209764
461, 461, 461, 461	 P = 212521
466, 466, 466, 466	 P = 217156
467, 467, 467, 467	 P = 218089
468, 468, 468, 468	 P = 219024
469, 469, 469, 469	 P = 219961
471, 471, 471, 471	 P = 221841
472, 472, 472, 472	 P = 222784
472, 472, 472, 472	 P = 222784
475, 475, 475, 475	 P = 225625
475, 475, 475, 475	 P = 225625
476, 476, 476, 476	 P = 226576
478, 478, 478, 478	 P = 228484
479, 479, 479, 479	 P = 229441
480, 480, 480, 480	 P = 230400
482, 482, 482, 482	 P = 232324
482, 482, 482, 482	 P = 232324
485, 485, 485, 485	 P = 235225
485, 485, 485, 485	 P = 235225
